LAST SEEN   TYPE      REASON                         OBJECT                                       MESSAGE
2m6s        Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-ccszv" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
2m6s        Normal    Started                        pod/115029258-burn-756969954-c2qrr           Container started
2m6s        Normal    Pulling                        pod/115029258-burn-756969954-pstqq           Pulling image "icstyoningrum/115029258-burn:v1"
2m6s        Normal    Pulled                         pod/115029258-burn-756969954-c2qrr           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 424ms (424ms including waiting). Image size: 7942693 bytes.
2m6s        Normal    Pulling                        pod/115029258-burn-756969954-c2qrr           Pulling image "icstyoningrum/115029258-burn:v1"
2m4s        Normal    Started                        pod/115029258-burn-756969954-pstqq           Container started
2m4s        Normal    Pulled                         pod/115029258-burn-756969954-pstqq           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 1.982s (1.982s including waiting). Image size: 7942693 bytes.
2m4s        Normal    Created                        pod/115029258-burn-756969954-pstqq           Container created
82s         Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 9; reason: cpu resource utilization (percentage of request) above target
82s         Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 5 to 9
67s         Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 9 to 10
67s         Warning   FailedCreate                   replicaset/115029258-burn-756969954          (combined from similar events): Error creating: pods "115029258-burn-756969954-d6vfp" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
67s         Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
